net,length_um
_1065_,14.34
u_input_fifo.mem\[0\]\[9\],14.34
u_input_fifo.mem\[12\]\[3\],14.34
u_input_fifo.mem\[9\]\[15\],14.34
u_input_fifo.mem\[2\]\[4\],14.32
u_input_fifo.mem\[6\]\[0\],14.305
_0870_,14.28
u_input_fifo.mem\[12\]\[12\],14.18
_0862_,14.16
u_input_fifo.mem\[14\]\[15\],14.1
u_viterbi_core.u_tbu.history_s3\[2\],14.06
_0897_,14.04
u_piso.count\[2\],14.02
u_input_fifo.mem\[4\]\[3\],14
u_input_fifo.mem\[9\]\[10\],13.96
_0804_,13.94
_0996_,13.94
_1607_,13.94
_0823_,13.88
u_input_fifo.mem\[15\]\[4\],13.88
u_input_fifo.mem\[8\]\[8\],13.82
_0488_,13.8
_1290_,13.8
u_input_fifo.mem\[1\]\[13\],13.76
u_input_fifo.mem\[8\]\[13\],13.76
_1098_,13.72
u_input_fifo.mem\[10\]\[3\],13.72
u_input_fifo.mem\[14\]\[10\],13.72
u_input_fifo.mem\[15\]\[1\],13.72
u_input_fifo.mem\[8\]\[0\],13.72
u_viterbi_core.u_tbu.history_s0\[6\],13.7
u_piso.count\[0\],13.64
u_viterbi_core.u_tbu.history_s1\[9\],13.64
_0791_,13.5
u_input_fifo.count\[3\],13.5
u_viterbi_core.u_tbu.history_s1\[1\],13.5
_0908_,13.48
_1231_,13.42
u_input_fifo.mem\[0\]\[13\],13.42
_1293_,13.38
u_input_fifo.mem\[10\]\[15\],13.345
u_viterbi_core.u_tbu.history_s3\[7\],13.28
_1260_,13.2
u_input_fifo.mem\[5\]\[8\],13.2
_1274_,13.18
_1022_,13.1
u_input_fifo.mem\[8\]\[4\],13.1
u_input_fifo.mem\[12\]\[7\],13.08
u_input_fifo.mem\[7\]\[14\],13.06
u_input_fifo.mem\[12\]\[1\],12.965
u_input_fifo.mem\[1\]\[11\],12.795
_0930_,12.785
_0943_,12.74
u_input_fifo.mem\[8\]\[12\],12.72
_0846_,12.7
_0784_,12.64
_1227_,12.62
u_piso.count\[3\],12.62
_0697_,12.56
u_input_fifo.mem\[1\]\[15\],12.54
_0767_,12.52
_0831_,12.52
_1205_,12.52
_1053_,12.5
u_input_fifo.mem\[11\]\[14\],12.46
_0861_,12.44
_0911_,12.42
u_input_fifo.mem\[5\]\[11\],12.42
u_input_fifo.rd_data_o\[11\],12.42
u_viterbi_core.u_tbu.history_s0\[4\],12.38
_0950_,12.36
_0270_,12.34
_0765_,12.34
u_viterbi_core.u_tbu.history_s0\[7\],12.34
u_input_fifo.mem\[14\]\[6\],12.305
u_input_fifo.mem\[1\]\[8\],12.3
data_i[11],12.28
_0738_,12.2
_1044_,12.2
u_input_fifo.mem\[1\]\[6\],12.18
_1369_,12.165
_1478_,12.14
u_input_fifo.mem\[14\]\[3\],12.14
_0914_,12.1
_0838_,12.04
_1012_,12.04
_1160_,12
u_input_fifo.mem\[11\]\[13\],12
u_input_fifo.mem\[6\]\[6\],12
_0935_,11.96
u_sipo.data_serial_i,11.96
u_input_fifo.mem\[7\]\[8\],11.92
u_input_fifo.mem\[5\]\[15\],11.9
u_input_fifo.mem\[5\]\[2\],11.885
u_input_fifo.mem\[9\]\[6\],11.885
u_input_fifo.mem\[0\]\[8\],11.88
u_input_fifo.mem\[1\]\[14\],11.865
u_input_fifo.mem\[7\]\[5\],11.86
_1339_,11.84
_1170_,11.82
_1138_,11.77
net45,11.76
_0736_,11.74
_1399_,11.72
u_input_fifo.mem\[11\]\[12\],11.72
u_input_fifo.mem\[2\]\[0\],11.72
_0703_,11.7
_1392_,11.7
u_input_fifo.rd_data_o\[7\],11.7
u_input_fifo.mem\[11\]\[9\],11.66
u_viterbi_core.u_tbu.history_s1\[3\],11.66
_1068_,11.62
u_input_fifo.mem\[14\]\[12\],11.62
u_viterbi_core.u_tbu.history_s1\[14\],11.62
u_input_fifo.mem\[3\]\[2\],11.6
_0926_,11.58
_1054_,11.58
u_input_fifo.mem\[14\]\[8\],11.58
u_sipo.count\[2\],11.56
u_input_fifo.mem\[13\]\[15\],11.54
_0927_,11.5
_0749_,11.48
data_i[4],11.48
u_input_fifo.mem\[1\]\[2\],11.46
_1351_,11.42
_1344_,11.38
u_input_fifo.mem\[13\]\[8\],11.365
_0751_,11.36
u_input_fifo.mem\[13\]\[11\],11.34
u_input_fifo.rd_data_o\[8\],11.32
u_sipo.count\[1\],11.32
_1567_,11.3
_0786_,11.28
u_input_fifo.mem\[10\]\[10\],11.28
_1150_,11.26
_1172_,11.24
_1275_,11.24
u_input_fifo.mem\[11\]\[10\],11.22
_1527_,11.2
u_input_fifo.mem\[0\]\[0\],11.2
_1391_,11.18
u_input_fifo.mem\[4\]\[9\],11.18
_1415_,11.14
_0659_,11.12
_0776_,11.12
_0865_,11.12
u_viterbi_core.u_tbu.history_s3\[11\],11.08
_0796_,11.02
u_viterbi_core.u_tbu.latency_counter\[3\],11
_1141_,10.96
u_input_fifo.mem\[4\]\[10\],10.96
u_input_fifo.mem\[1\]\[1\],10.92
_1003_,10.88
_1201_,10.88
u_input_fifo.mem\[14\]\[2\],10.86
u_input_fifo.mem\[3\]\[14\],10.86
u_input_fifo.mem\[3\]\[1\],10.82
u_input_fifo.mem\[5\]\[10\],10.82
_0829_,10.78
_1182_,10.78
_1312_,10.78
u_input_fifo.mem\[7\]\[2\],10.78
data_i[13],10.76
u_input_fifo.mem\[6\]\[5\],10.76
u_input_fifo.mem\[10\]\[11\],10.74
u_viterbi_core.u_tbu.history_s2\[5\],10.74
u_input_fifo.mem\[3\]\[13\],10.72
_1348_,10.66
u_input_fifo.mem\[13\]\[12\],10.66
u_input_fifo.mem\[2\]\[13\],10.66
_0771_,10.6
_1368_,10.59
_0229_,10.585
_0723_,10.58
_0851_,10.58
_1006_,10.58
_0630_,10.57
u_input_fifo.mem\[11\]\[6\],10.54
u_input_fifo.mem\[14\]\[1\],10.5
u_piso.shift_reg\[14\],10.45
_0348_,10.44
_1035_,10.44
_0704_,10.42
_0780_,10.42
_1388_,10.42
_0001_,10.4
_0377_,10.4
_0991_,10.4
u_input_fifo.mem\[7\]\[9\],10.4
u_input_fifo.mem\[7\]\[13\],10.38
u_viterbi_core.u_tbu.history_s3\[3\],10.38
u_input_fifo.mem\[11\]\[1\],10.34
_1396_,10.32
net43,10.32
_0080_,10.285
u_input_fifo.mem\[10\]\[4\],10.28
u_piso.shift_reg\[15\],10.28
u_input_fifo.mem\[2\]\[9\],10.26
u_input_fifo.mem\[9\]\[2\],10.205
_0740_,10.2
_0863_,10.2
u_input_fifo.mem\[5\]\[6\],10.185
_0929_,10.18
u_input_fifo.mem\[15\]\[5\],10.18
u_input_fifo.mem\[0\]\[4\],10.16
u_input_fifo.mem\[7\]\[6\],10.16
_1145_,10.12
_0785_,10.1
_1400_,10.1
_1603_,10.1
_0987_,10.04
_0834_,9.98
u_input_fifo.mem\[6\]\[12\],9.98
u_piso.shift_reg\[3\],9.98
net183,9.98
u_input_fifo.mem\[13\]\[2\],9.965
_0883_,9.96
u_input_fifo.mem\[1\]\[7\],9.94
_0658_,9.86
u_input_fifo.mem\[4\]\[7\],9.86
_1027_,9.82
_1149_,9.82
u_input_fifo.mem\[10\]\[6\],9.82
u_input_fifo.mem\[11\]\[15\],9.82
u_input_fifo.mem\[12\]\[11\],9.82
u_piso.valid_serial_o,9.82
u_viterbi_core.u_tbu.history_s1\[2\],9.82
net218,9.82
u_input_fifo.mem\[12\]\[2\],9.78
u_viterbi_core.u_tbu.history_s3\[12\],9.76
u_input_fifo.mem\[15\]\[8\],9.74
_0754_,9.72
_1386_,9.72
u_input_fifo.mem\[0\]\[1\],9.72
u_input_fifo.mem\[6\]\[7\],9.7
